Date;Preco
2015-04-30;3.7862908840179443
2015-05-31;3.574652910232544
2015-06-30;3.679022789001465
2015-07-31;3.0412089824676514
2015-08-31;2.6643199920654297
2015-09-30;2.098984718322754
2015-10-31;2.2352449893951416
2015-11-30;2.2236480712890625
2015-12-31;1.9424312114715576
2016-01-31;1.4031891822814941
2016-02-29;1.4901633262634277
2016-03-31;2.4091947078704834
2016-04-30;2.9658308029174805
2016-05-31;2.3309171199798584
2016-06-30;2.7309999465942383
2016-07-31;3.4412920475006104
2016-08-31;3.725409507751465
2016-09-30;3.9341461658477783
2016-10-31;5.128597736358643
2016-11-30;4.638640880584717
2016-12-31;4.311037063598633
2017-01-31;4.354525566101074
2017-02-28;4.4009108543396
2017-03-31;4.200869560241699
2017-04-30;4.050112724304199
2017-05-31;3.7572991847991943
2017-06-30;3.5862488746643066
2017-07-31;3.8529701232910156
2017-08-31;3.9573400020599365
2017-09-30;4.435701370239258
2017-10-31;4.861875057220459
2017-11-30;4.458893299102783
2017-12-31;4.667632102966309
2018-01-31;5.711327075958252
2018-02-28;6.2215776443481445
2018-03-31;6.207080841064453
2018-04-30;6.659348011016846
2018-05-31;5.5135931968688965
2018-06-30;4.993607521057129
2018-07-31;5.7285590171813965
2018-08-31;5.608926773071289
2018-09-30;6.141860008239746
2018-10-31;8.043538093566895
2018-11-30;7.444072246551514
2018-12-31;6.859330654144287
2019-01-31;7.736403465270996
2019-02-28;8.184015274047852
2019-03-31;8.48645305633545
2019-04-30;8.204890251159668
2019-05-31;7.762055397033691
2019-06-30;8.327120780944824
2019-07-31;7.923068523406982
2019-08-31;7.807744979858398
2019-09-30;8.4354248046875
2019-10-31;9.304994583129883
2019-11-30;8.98460865020752
2019-12-31;9.43080997467041
2020-01-31;8.890213012695312
2020-02-29;7.918382167816162
2020-03-31;4.371671199798584
2020-04-30;5.6403632164001465
2020-05-31;6.355955600738525
2020-06-30;6.734062671661377
2020-07-31;6.937315940856934
2020-08-31;6.840444087982178
2020-09-30;6.127964019775391
2020-10-31;5.9185943603515625
2020-11-30;7.781045913696289
2020-12-31;8.85601806640625
2021-01-31;8.340404510498047
2021-02-28;6.949815273284912
2021-03-31;7.5310516357421875
2021-04-30;7.6294708251953125
2021-05-31;8.67924976348877
2021-06-30;9.50615119934082
2021-07-31;8.692171096801758
2021-08-31;9.305702209472656
2021-09-30;9.319393157958984
2021-10-31;9.292013168334961
2021-11-30;10.07233715057373
2021-12-31;10.93808650970459
2022-01-31;12.437508583068848
2022-02-28;13.071881294250488
2022-03-31;12.860424041748047
2022-04-30;12.735932350158691
2022-05-31;14.089513778686523
2022-06-30;13.091156005859375
2022-07-31;16.006553649902344
2022-08-31;19.12751579284668
2022-09-30;17.153173446655273
2022-10-31;17.15892791748047
2022-11-30;16.417827606201172
2022-12-31;15.087651252746582
2023-01-31;16.054492950439453
2023-02-28;15.543360710144043
2023-03-31;14.44103717803955
2023-04-30;16.440744400024414
2023-05-31;18.119503021240234
2023-06-30;21.82647705078125
2023-07-31;22.994300842285156
2023-08-31;24.507675170898438
2023-09-30;26.57939338684082
2023-10-31;26.656124114990234
2023-11-30;28.633731842041016
2023-12-31;29.694244384765625
2024-01-31;32.500999450683594
2024-02-29;32.00662612915039
2024-03-31;29.78993034362793
2024-04-30;34.44390869140625
2024-05-31;33.19392776489258
2024-06-30;33.488365173339844
2024-07-31;32.92509078979492
2024-08-31;35.6362419128418
2024-09-30;32.59489822387695
2024-10-31;32.5043830871582
2024-11-30;35.210819244384766
2024-12-31;35.361663818359375
2025-01-31;36.827327728271484
2025-02-28;35.10761642456055
2025-03-31;36.30946350097656
2025-04-30;30.43000030517578
